"moduleid","temperature","relative_humidity","voc","nox","pm1","pm25","pm4","pm10","timestamp"
"868050040248441","39.08499908447266","22.44000053405762",0,0,"2","2.099999904632568","2.099999904632568","2.099999904632568","2023-08-01 14:13:56"
"868050040248441","39.31000137329102","21.04999923706055",0,0,"2.299999952316284","2.400000095367432","2.400000095367432","2.400000095367432","2023-08-01 14:44:28"
"868050040248441","38.90999984741211","21.54999923706055",0,0,"2.700000047683716","3.200000047683716","3.5","3.599999904632568","2023-08-01 15:14:58"
"868050040248441","38.86000061035156","22.63999938964844",0,0,"2.900000095367432","3","3","3","2023-08-01 15:45:29"
"868050040248441","37.5","21.45999908447266",0,0,"1.899999976158142","2","2","2","2023-08-01 16:16:00"
"868050040248441","38.07500076293945","20.70000076293945",0,0,"2.900000095367432","3","3","3","2023-08-01 16:46:30"
"868050040248441","37.67499923706055","21.45999908447266",0,0,"2.099999904632568","2.799999952316284","3.299999952316284","3.5","2023-08-01 17:17:00"
"868050040248441","35.10499954223633","23.70999908447266",0,0,"2.5","2.599999904632568","2.599999904632568","2.599999904632568","2023-08-01 17:47:31"
"868050040248441","34.82500076293945","24.14999961853027",0,0,"2.799999952316284","3","3.200000047683716","3.200000047683716","2023-08-01 18:18:01"
"868050040248441","36.71500015258789","24.13999938964844",0,0,"2.900000095367432","3.400000095367432","3.599999904632568","3.700000047683716","2023-08-01 18:48:36"
"868050040248441","38.95999908447266","20.06999969482422",0,0,"3.400000095367432","3.599999904632568","3.599999904632568","3.599999904632568","2023-08-01 19:19:06"
"868050040248441","34.42499923706055","23.54999923706055",0,0,"3.099999904632568","3.700000047683716","4.099999904632568","4.300000190734863","2023-08-01 19:49:38"
"868050040248441","31.3700008392334","31.79999923706055",0,0,"2.700000047683716","2.799999952316284","2.799999952316284","2.799999952316284","2023-08-01 20:20:08"
"868050040248441","29.375","36.54999923706055",0,0,"4.599999904632568","4.800000190734863","4.800000190734863","4.800000190734863","2023-08-01 20:50:39"
"868050040248441","29.375","36.54999923706055",0,0,"4.599999904632568","4.800000190734863","4.800000190734863","4.800000190734863","2023-08-01 20:50:40"
"868050040248441","29.375","36.54999923706055",0,0,"4.599999904632568","4.800000190734863","4.800000190734863","4.800000190734863","2023-08-01 20:50:41"
"868050040248441","28.07500076293945","38.93000030517578",0,0,"3.5","3.700000047683716","3.700000047683716","3.700000047683716","2023-08-01 21:21:12"
